"","Species","SpeciesID","Week","Weight_g","Porometer","PercentBrown","Dead"
"1594","PIED","PIED37","13.5",NA,NA,50,"alive"
"1595","PIED","PIED37","14.0",423,NA,75,"dead"
"1596","PIED","PIED37","14.5",NA,NA,75,"dead"
"1597","PIED","PIED37","15.0",421,NA,75,"dead"
"1598","PIED","PIED37","15.5",NA,NA,90,"dead"
"1599","PIED","PIED37","16.0",419,NA,90,"dead"
"1600","PIED","PIED37","16.5",NA,NA,NA,"dead"
"1601","PIED","PIED37","17.0",NA,NA,NA,"dead"
"1602","PIED","PIED37","17.5",NA,NA,NA,"dead"
"1603","PIED","PIED37","18.0",NA,NA,NA,"dead"
"1604","PIED","PIED37","18.5",NA,NA,NA,"dead"
"1605","PIED","PIED37","19.0",NA,NA,NA,"dead"
"1606","PIED","PIED37","19.5",NA,NA,NA,"dead"
"1607","PIED","PIED37","2.0",694,NA,10,"alive"
"1608","PIED","PIED37","2.5",NA,NA,10,"alive"
"1609","PIED","PIED37","20.0",NA,NA,NA,"dead"
"1610","PIED","PIED37","20.5",NA,NA,NA,"dead"
"1611","PIED","PIED37","21.0",NA,NA,NA,"dead"
"1612","PIED","PIED37","21.5",NA,NA,NA,"dead"
"1613","PIED","PIED37","22.0",NA,NA,NA,"dead"
"1614","PIED","PIED37","22.5",NA,NA,NA,"dead"
"1615","PIED","PIED37","3.0",616,NA,10,"alive"
"1616","PIED","PIED37","3.5",NA,NA,10,"alive"
"1617","PIED","PIED37","4.0",535,NA,10,"alive"
"1618","PIED","PIED37","4.5",NA,NA,10,"alive"
"1619","PIED","PIED37","5.0",506,NA,10,"alive"
"1620","PIED","PIED37","5.5",NA,NA,10,"alive"
"1621","PIED","PIED37","6.0",494,NA,10,"alive"
"1622","PIED","PIED37","6.5",NA,NA,10,"alive"
"1623","PIED","PIED37","7.0",484,NA,10,"alive"
"1624","PIED","PIED37","7.5",NA,NA,25,"alive"
"1625","PIED","PIED37","8.0",460,NA,10,"alive"
