Species,SpeciesID,Week,Weight_g,Porometer,PercentBrown,Dead
PIFL,PIFL20,21.5,NA,NA,10,alive
PIFL,PIFL20,22,418,NA,10,alive
PIFL,PIFL20,22.5,NA,NA,10,alive
PIFL,PIFL20,23,410,NA,10,alive
PIFL,PIFL20,23.5,NA,NA,10,alive
PIFL,PIFL20,24,404,NA,10,alive
PIFL,PIFL20,24.5,NA,NA,10,alive
PIFL,PIFL20,25,401,NA,10,alive
PIFL,PIFL20,25.5,NA,NA,25,alive
PIFL,PIFL20,26,397,NA,10,alive
PIFL,PIFL20,26.5,NA,NA,10,alive
PIFL,PIFL20,27,393,NA,10,alive
PIFL,PIFL20,27.5,NA,NA,25,alive
PIFL,PIFL20,28,388,NA,25,alive
PIFL,PIFL20,28.5,NA,NA,25,alive
PIFL,PIFL20,29,385,NA,25,alive
PIFL,PIFL20,29.5,NA,NA,25,alive
PIFL,PIFL20,3,775,NA,10,alive
PIFL,PIFL20,3.5,NA,NA,10,alive
PIFL,PIFL20,30,384,NA,25,alive
PIFL,PIFL20,30.5,NA,NA,50,alive
PIFL,PIFL20,31,384,NA,50,alive
PIFL,PIFL20,31.5,NA,NA,50,alive
PIFL,PIFL20,32,382,NA,75,alive
PIFL,PIFL20,32.5,NA,NA,50,alive
PIFL,PIFL20,33,381,NA,75,alive
PIFL,PIFL20,33.5,NA,NA,50,alive
PIFL,PIFL20,34,381,NA,75,dead
PIFL,PIFL20,34.5,NA,NA,90,dead
PIFL,PIFL20,35,381,NA,90,dead
PIFL,PIFL20,35.5,NA,NA,90,dead
PIFL,PIFL20,36,381,NA,90,dead
PIFL,PIFL20,4,777,NA,10,alive
PIFL,PIFL20,4.5,NA,NA,10,alive
PIFL,PIFL20,5,773,NA,10,alive
PIFL,PIFL20,5.5,NA,NA,10,alive
PIFL,PIFL20,6,759,NA,10,alive
PIFL,PIFL20,6.5,NA,NA,10,alive
PIFL,PIFL20,7,754,NA,10,alive
PIFL,PIFL20,7.5,NA,NA,NA,alive
PIFL,PIFL20,8,689,NA,10,alive
PIFL,PIFL20,8.5,NA,NA,10,alive
PIFL,PIFL20,9,664,NA,10,alive
PIFL,PIFL20,9.5,NA,NA,10,alive
PIFL,PIFL21,1,726,NA,10,alive
PIFL,PIFL21,1.5,NA,NA,10,alive
PIFL,PIFL21,10,565,NA,10,alive
PIFL,PIFL21,10.5,NA,NA,10,alive
PIFL,PIFL21,11,529,NA,10,alive
PIFL,PIFL21,11.5,NA,NA,10,alive
PIFL,PIFL21,12,506,NA,10,alive
PIFL,PIFL21,12.5,NA,NA,10,alive
PIFL,PIFL21,13,488,NA,10,alive
PIFL,PIFL21,13.5,NA,NA,10,alive
PIFL,PIFL21,14,466,NA,10,alive
PIFL,PIFL21,14.5,NA,NA,10,alive
PIFL,PIFL21,15,453,NA,10,alive
PIFL,PIFL21,15.5,NA,NA,10,alive
PIFL,PIFL21,16,NA,NA,NA,alive
PIFL,PIFL21,16.5,NA,NA,25,alive
PIFL,PIFL21,17,436,NA,25,alive
PIFL,PIFL21,17.5,NA,NA,25,alive
PIFL,PIFL21,18,425,NA,25,alive
PIFL,PIFL21,18.5,NA,NA,10,alive
PIFL,PIFL21,19,416,NA,10,alive
PIFL,PIFL21,19.5,NA,NA,10,alive
PIFL,PIFL21,2,717,NA,10,alive
PIFL,PIFL21,2.5,NA,NA,10,alive
PIFL,PIFL21,20,405,NA,10,alive
PIFL,PIFL21,20.5,NA,NA,10,alive
PIFL,PIFL21,21,392,NA,10,alive
PIFL,PIFL21,21.5,NA,NA,10,alive
PIFL,PIFL21,22,384,NA,10,alive
PIFL,PIFL21,22.5,NA,NA,10,alive
PIFL,PIFL21,23,374,NA,10,alive
PIFL,PIFL21,23.5,NA,NA,10,alive
